PROVEEDOR O CONTRATISTA, 	DEPENDENCIA, 	NUMERO DE EXPEDIENTE, 	HECHOS DE LA IRREGULARIDAD, 	OBJETO SOCIAL, 	SENTIDO DE RESOLUCION, 	FECHA DE NOTIFICACION, 	FECHA DE RESOLUCION, 	PLAZO, 	MONTO, 	NOMBRE DEL RESPONSABLE DE LA INFORMACION, 	FECHA DE ACTUALIZACION 
INSUMOS MEDICOS GEVA  S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0024/2020,	RECISIÓN DE CONTRATO A LA EMPRESA EN MENCIÓN  POR INCUMPLIMIENTO EN LA ENTREGA DE 6677 EQUIPOS DE LA CLAVE 060.345.1378 4985 EQUIPOS DE LA CLAVE 060.345.1386  LAS CUALES FUE REQUERIDAS MEDIANTE ORDEN DE SUMINISTRO NÚMERO SI-MC-0371-2019  CON PERIODO DE RECEPCIÓN DEL ONCE AL VEINTIDOS DE DICIEMBRE DE DOS MIL DIECINUEVE.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	20/11/2020,	11/11/2020,	3 AÑOS 9 MESES,	1901025.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
INSUMOS Y SUMINISTROS  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0007/2015,	LA EMPRESAS POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. U140347,	DISTRIBUCIÓN DE PRODUCTOS HOSPITALARIOS,	SANCIONATORIA CON MULTA,	04/11/2016,	31/10/2016,	,	100935.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
INTE DEL GOLFO  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0007/2010,	PRESENTAR DOCUMENTACIÓN APÓCRIFA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/09/2011,	20/09/2011,	2 AÑOS 6 MESES,	730050.00,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
INTEGRA SERVICIOS  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0250/2009,	46  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>OMITIÓ FORMALIZAR EL CONTRATO TESE-027-05  PARA LOS SERVICIOS DE JARDINERÍA Y MANTENIMIENTO DE OFICINAS DEL TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC  QUE LE FUE ADJUDICADO AL PARTICIPAR EN LA LICITACIÓN PÚBLICA NACIONAL 44120001-001-05  CONVOCADA POR EL INSTITUTO TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC.,	SERVICIOS DE JARDINERIA Y MANTENIMIENTO,	SANCIONATORIA CON MULTA,	24/11/2009,	24/11/2009,	,	70200.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
INTEGRA SERVICIOS  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0251/2009,	46  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>OMITIÓ FORMALIZAR EL CONTRATO TESE-028-05  PARA LOS SERVICIOS DE JARDINERÍA Y MANTENIMIENTO DE OFICINAS DEL TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC  QUE LE FUE ADJUDICADO AL PARTICIPAR EN LA LICITACIÓN PÚBLICA NACIONAL 44120001-002-05  CONVOCADA POR EL INSTITUTO TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC.,	PRESTACIÓN DE LOS SERVICIOS DE JARDINERÍA Y MANTENIMIENTO DE OFICINAS DEL TECNOLÓGICO DE ESTUDIOS SUPERIORES DE ECATEPEC (TESE)  ASÍ COMO LA LIMPIEZA DE LAS MISMAS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	27/11/2009,	24/11/2009,	3 MESES,	70200.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
INTEGRACION DE SISTEMAS DIANAWARE  S.A DE C.V,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0069/2008,	LA EMPRESA NO FORMALIZO EL CONTRATO NO. D75125,	COMPRAVENTA  RENTA  IMPORTACION  EXPORTACION  INSTALACION  SERVICIO Y REPARACION DE EQUIPOS DEL RAMO DE LA INFORMATICA  ELECTRONICA  TELEFONICA  TELECOMUNICACIONES  MOBILIARIO Y EQUIPO DE OFICINA Y TODO LO CONEXO  ANEXO Y CORRELATIVO AL OBJETO SOCIAL,	SANCIONATORIA CON MULTA,	07/07/2011,	28/06/2011,	,	75855.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
INTEGRACIÓN DE SOLUCIONES DE INGENIERÍA Y TELECOMUNICACIONES  S.A. DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0340/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	PROYECTO  SUMINISTRO  INSTALACIÓN  MANTENIMIENTO  ADMINISTRACIÓN DE INFRAESTRUCTURA DE INFORMÁTICA Y TELECOMUNICACIONES EN PLATAFORMAS DE CÓMPUTO Y DE INGENIERÍA ELECTROMECÁNICA.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	12/12/2006,	11/12/2006,	3 MESES,	75438.50,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
INTEGRACIÓN Y DESARROLLO ARIES  S.A. DE C.V.,	COMISION NACIONAL BANCARIA Y DE VALORES,	0015/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	CONSTRUCCIÓN Y MANTENIMIENTO EN GENERAL DE BIENES MUEBLES E INMUEBLES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/11/2006,	30/10/2006,	3 MESES,	70200.00,	SANDRA ANEL VILLANUEVA LEAL,	14/01/2021 08:01
INTEGRACIÓN Y DESARROLLO ARIES  S.A. DE C.V.,	COMISION NACIONAL BANCARIA Y DE VALORES,	0016/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	CONSTRUCCIÓN Y REMODELACIÓN DE BIENES MUEBLES E INMUEBLES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/11/2006,	30/10/2006,	3 MESES,	68138.00,	SANDRA ANEL VILLANUEVA LEAL,	14/01/2021 08:01
INTEGRADOR DE SERVICIOS I.T.  S.A. DE C.V.,	FONDO DE GARANTIA Y FOMENTO PARA LA AGRICULTURA  GANADERIA Y AVICULTURA,	0004/2019,	EL LICITANTE ADJUDICADO EN LAS PARTIDAS 1 Y 2 DEL PROCEDIMIENTO DE LICITACIÓN PÚBLICA NACIONAL ELECTRÓNICA DE SERVICIOS NO. LA-006HB001-E18-2019  NO FORMALIZÓ EL CONTRATO PRESUNTAMENTE PORQUE EL SISTEMA DEL SAT NO LE GENERÓ LA OPINIÓN DE OBLIGACIONES FISCALES  AGOTANDO EL PLAZO LEGAL MAXIMO DE 15 DIAS NATURALES SIGUIENTES AL DE LA NOTIFICACIÓN DEL FALLO QUE REFIERE EL ART 46 DE LA LAASSP PARA FORMALIZARLO  EL CUAL VENCIÓ EL 28/05/2019.,	ACTOS DE COMERCIO COMO COMPRA  VENTA  DISTRIBUCIÓN  COMISIÓN  MEDIACIÓN  IMPORTACIÓN  EXPORTACIÓN  PROMOCIÓN Y CONSIGNACIÓN DE TODA CLASES Y EQUIPOS DE MATERIAL DE COMPUTACIÓN  EQUIPO DE OFICINA Y PAPELERÍA  ELECTRÓNICA  COMUNICACIÓN Y SUS DERIVADOS CUALESQUIERA QUE FUERA SU NATURALEZA  Y LA PRESTACIÓN  SUMINISTRO  ASESORÍA  SUPERVISIÓN Y EJECUCIÓN DE TODA CLASE DE SERVICIOS PROFESIONALES RELACIONADOS CON EL ÁREA DE LA COMPUTACIÓN.,	SANCIONATORIA CON MULTA,	27/11/2019,	27/11/2019,	,	128425.00,	,	14/01/2021 08:01
INTELYTI  S.A. DE C.V.,	SECRETARIA DE ECONOMIA,	0002/2015,	LA EMPRESA INTELYTI S.A. DE C.V.  RESULTÓ ADJUDICADA DE LA PARTIDA ÚNICA DEL PROCEDIMIENTO DE CONTRATACIÓN DE INVITACIÓN A CUANDO MENOS TRES PERSONAS DE CARACTER NACIONAL MIXTA  CON NUMERO DE COMPRANET IA-010000999-N268-2014 PARA EL SERVICIO DE CONTRATACIÓN DE TRADUCCIÓN SIMPLE DE DOCUMENTOS RELACIONADOS CON LA NORMALIZACIÓN Y NORMAS INTERNACIONALES QUE SE ENCUENTRAN EN IDIOMA INGLÉS O FRANCES AL IDIOMA ESPAÑOL; SIN EMBARGO AL MOMENTO DE LA FORMALIZACIÓN DEL CONTRATO  LOS INSTRUMENTOS NOTARIALES QUE PRESENTÓ  NO CONTENÍA DENTRO DE SU OBJETO SOCIAL  LA TRADUCCIÓN DE DOCUMENTOS.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	18/02/2016,	05/02/2016,	3 MESES,	100935.00,	HECTOR GARCÍA GÓNZALEZ,	14/01/2021 08:01
INTER KLIN  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0002/2014,	60  FRACCIÓN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO.  <br>PROPORCIONAR INFORMACIÓN FALSA Y ACTUAR CON DOLO DURANTE EL PROCEDIMIENTO DE CONTRATACIÓN.,	SERVICIO PROFESIONAL DE LIMPIEZA DE INMUEBLES  MUEBLES DE TIPO RESIDENCIAL  INDUSTRIAL  DE SERVICIOS Y COMERCIAL  INCLUYENDO HOSPITALES  LABORATORIOS  UNIDADES MÉDICAS Y DENTALES  EDIFICIOS  TALLERES E INSTALACIONES Y ESTABLECIMIENTOS EN GENERAL.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/11/2015,	23/11/2015,	2 AÑOS,	803024.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
INTER KLIN S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0006/2015,	PRESUNTA FALSEDAD EN LA DOCUMENTACIÓN PRESENTADA EN LA ETAPA DE PROPORSICIONES DEL PROCEDIMIENTO DE LICITACIÓN,	SERVICIO  DE LIMPIEZA INTREGRAL,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	01/04/2016,	22/03/2016,	3 AÑOS 3 MESES,	1412515.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
INTERACTIVOS PARA LABORATORIO  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0398/2008,	LA EMPRESA INCURRIO EN FALSEDAD AL MANIFESTAR NO ENCONTRARSE EN ALGUNO DE LOS SUPUESTOS SEÑALADOS EN EL ARTICULO 50 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PUBLICO.,	COMPRA  VENTA DE MATERIAL PARA LABORATORIO,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/05/2011,	09/05/2011,	1 AÑO,	313534.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
INTERGENERIC  S.A  DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0022/2014,	RESCISIÓN ADMINISTRATIVA DE CONTRATOS CELEBRADOS EN DOS DEPENDENCIAS DIFERENTES EN UN LAPSO DE TRES AÑOS. <br>ART. 60  FRACCIÓN II  DE LA LAASSP,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	13/11/2017,	13/11/2017,	12 MESES,	362656.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
INTERGENERIC S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0023/2013,	LA EMPRESA INCUMPLIÓ CON SUS OBLIGACIONES CONTRACTUALES  AL NO ENTREGAR LOS BIENES PACTADOS EN EL CONTRATO NO. U110776,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/06/2016,	31/05/2016,	2 AÑOS 3 MESES,	869503.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
INTERNACIONAL DE CADENAS  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0364/2005,	HABER PROPORCIONADO EN LA PROPUESTA TECNICA DOCUMENTACION PRESUMIBLEMENTE  FALSA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	27/04/2010,	26/04/2010,	1 AÑO,	280800.00,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
INTERNACIONAL MUDANCERA MEXICANA  S.A. DE C.V.,	PROCURADURIA GENERAL DE LA REPÚBLICA,	0002/2009,	HABER ACTUADO CON DOLO Y MALA FE EN UN PROCEDIMIENTO LICITATORIO Y EN LA PRESENTACION DE UNA INCONFORMIDAD ASÍ COMO HABER VULNERADO LA CARTA DE INTEGRIDAD SOLICITADA EN LAS BASES CONCURSALES,	SERVICIO DE FLETES  MUDANZAS Y MANIOBRAS ADICIONALES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/07/2009,	07/07/2009,	3 MESES,	82200.00,	BERTIN VAZQUEZ GONZALEZ,	14/01/2021 08:01
INTERNATIONAL EQUIPMENT JCB  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0023/2019,	LA EMPRESA PROPORCIONÓ INFORMACIÓN FALSA EN UNA MODIFICACION AL REGISTRO SANITARIO NO. 0970E2009SSA Y EN UNA CARTA DE RESPALDO.  <br>CONTRATO NO. BI201323,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	16/07/2020,	07/07/2020,	2 AÑOS,	113212.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
INTERNATIONAL METALS DE MÉXICO  S.A. DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0009/2017,	LA DIR. GRAL. IND. MIL. INFORMÓ LA PRESUNTA INFRACCIÓN POR PARTE DE LA EMPRESA INTERNATIONAL METALS DE MÉXICO  S.A. DE C.V.  LA CUAL NO ENTREGÓ 30 PIEZAS DE PLACA DE ACERO AISI 1075 3.4 MM. X 1 200MM (CAL. 10) LAMINADA EN FRÍO Y 193 KGS. DE FLEJE DE ACERO ASTM 1008-DS A (CAL. 20X35 MM.) LAMINADO EN FRÍO CON UN COSTO DE $ 131 331.72 (CIENTO TREINTA Y UN MIL TRESCIENTOS TREINTA Y UN PESOS 72/100 M.N.)  CONTRATADOS EN EL PEDIOD DE ADQUISICIÓN P07-000131/2016.,	FABRICACIÓN D OTROS PRODUCTOS METÁLICOS-  COMISIONES  REPRESENTACIONES  COMPRA  VENTA  MAQUILA  IMPORTACIONES  EXPORTACIONES Y COMERCIO EN GENERAL DE TODA CLASE DE BIENES Y ARTÍCULOS INDUSTRIALES Y COMERCIALES.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	24/04/2017,	12/04/2017,	1 AÑO,	226696.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
INTERNATIONAL SERVICES DOLPTHINGS  S..A DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0016/2012,	PRESENTÓ DICTAMENES FALSOS EN EL PROCEDIMIENTO LICITATORIO.,	REPARACIÓN Y MANTENIMIENTO DE MAQUINARIA Y EQUIPO INDUSTRIAL.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	18/09/2012,	07/09/2012,	8 MESES,	236907.58,	,	14/01/2021 08:01
INTERNATIONAL SERVICES DOLPTHINGS  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0012/2012,	PRESENTÓ DICTAMENES FINANCIEROS FALSOS EN EL PROCEDIMIENTO DE LICITACIÓN PÚBLICA NACIONAL 18577010-019-10,	LA REALIZACIÓN DE TODA CLASE DE CONSTRUCCIONES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	18/09/2012,	11/09/2012,	8 MESES,	229265.40,	,	14/01/2021 08:01
INTERNATIONAL SHOP KAISER  S.A. DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0023/2015,	SE INICIO PROCEDIMIENTO EN CONTRA DE LA EMPRESA INTERNATIONAL SHOP KÁISER  S.A. DE C.V.   EN VIRTUD DEL FINIQUITO DERIVADO DE LA RESCISIÓN ADMTVA. DEL PEDIDO DE ADQUISICIÓN NO. P07-000458/2014  PARA LA ADQUISICIÓN DE DIVERSAS BATERÍAS RECARGABLES Y DE LITIO POR UN MONTO CON IVA DE 17 434.80 M.N.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/09/2016,	12/08/2016,	1 AÑO,	100935.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
INTERNATIONAL SHOP KAISER  S.A. DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0024/2015,	SE INICIO PROCEDIMIENTO EN CONTRA DE LA EMPRESA INTERNATIONAL SHOP KÁISER  S.A. DE C.V.   EN VIRTUD DEL FINIQUITO DERIVADO DE LA RESCISIÓN ADMTVA. DEL PEDIDO DE ADQUISICIÓN NO. 07-000146/2014  PARA LA ADQUISICIÓN DE MATERIALES Y ARTICULOS DE CONTRUCCION Y REPARACION.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/09/2016,	22/08/2016,	1 AÑO,	104299.50,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
INTERNATIONAL SHOP KAISER  S.A. DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0025/2015,	SOBRE EL FINIQUITO DERIVADO DE LA RESICION ADMTVA. DEL PEDIDO DE ADQUISICIÓN NO. A022-00021/2014  PARA LA ADQUISICIÓN DE SERVIMOTOR MARCA YASKAWA MODELO SGMJV-04AAA6C  CONFORME A LA FICHA ESPECIFICACIONES TÉCNICAS TET-UA13-MEE-0049 00 10/SEP/2012  POR UN MONTO CON IVA DE $114 933.96  CELEBRADO CON LA EMPRESA INTENATIONAL SHOP KÁISER  S.A.DE C.V. Y DE LAS CONSTANCIAS QUE OBRAN EN LOS EXPEDIENTES RESPECTIVOS DE CADA PEDIDO  SE INFIERE QUE LA EMPRESA ANTES MENCIONADA IMCUMPLIO CON LA ENTREGA DE LOS BIENES SOLICITADOS POR ESTA SECRETARÍA DE ESTADO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/09/2016,	12/09/2016,	1 AÑO,	104299.50,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
INTERNATIONAL SHOP KAISER  S.A. DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0029/2015,	SE REFIERE QUE LA EMPRESA INTERNATIONAL SHOP KAISER  S.A. DE C.V. INCUMPLIO CON AL ENTREGA DE LOS BIENES SOLICITADOS POR LA SECRETARIA DE LA DEFENSA NACIONAL DENTRO DEL PEDIDO DE ADQUICISION NO. 07-0000125/2014.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/09/2016,	19/09/2016,	1 AÑO,	100935.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
INTRAPROC DE MEXCIO  S.A. DE C.V.,	PETROLEOS MEXICANOS CORPORATIVO,	0010/2013,	LA ADJUDICADA NO ACREDITÓ DOCUMENTALMENTE  EN TIEMPO Y FORMA   EL REPORTE DE SU ESTADO FISCAL AL CORRIENTE ANTE EL SAT  PREVIO A LA FIRMA DEL CONTRATO ANTE LA CONVOCANTE.,	COMPRAVENTA  REPRESENTACIÓN  IMPORTACIÓN  EXPORTACIÓN Y DESARROLLO DE TODO TIPO DE SISTEMAS DE COMPUTACIÓN E IDENTIFICACIÓN APLICADA A TODA ACTIVIDAD COMERCIAL  INDUSTRAIL Y MERCANTIL  COMPRAVENTA  REPRESENTACIÓN  IMPORTACIÓN Y EXPORTACIÓN DE TODO TIPO DE MATERIALES DE CUALQUIER CLASE RELACIONADA CON SISTEMAS DE COMPUTACIÓN. SERVICIO  IMPORTACIÓN  EXPORTACIÓN  ALMACENAMIENTO  ENSAMBLAJE  DISTRIBUCIÓN  COMPRAR  VENDER Y ARRENDAMIENTO Y DESARROLLO DE TODO TIPO DE SISTEMAS DE COMPUTACIÓN Y LOS DE SEGURIDAD E IDENTIFICACIÓN RELACIONADOS CON EL OBJETO PRINCIPAL DE LA EMPRESA; REALIZACIÓN DE TODA CLASE DE ACTOS CIVILES Y MERCANTILES Y CUALESQUIER OTROS PERMITIDOS PARA LOS FINES DE LA EMPRESA; COMPRAVENTA DE BIENES MUEBLES E INMUEBLES QUE SIRVAN PARA EL BUEN DESARROLLO DEL OBJETO SOCIAL; LA REPRESENTACIÓN DE OTRAS COMPAÑÍAS EN EL CONTINENTE AMERICANO; Y LA INSTALACIÓN  ENSAMBLAJE  DESINSTALACIÓN  ASESORIA DE LA COMPUTACIÓN E IDENTIFICACIÓN EN GENERAL.,	SANCIONATORIA CON MULTA,	02/10/2013,	23/09/2013,	,	93495.00,	,	14/01/2021 08:01
IRINEO FILIO TORRES,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0368/2008,	INCURRIO EN FALSEDAD AL PRESENTAR ESCRITO BAJO PROTESTA DE DECIR VERDAD DE ENCONTRARSE AL CORRIENTE EN LOS PAGOS DE LAS CUOTAS OBRERO PATRONAL. CONTRATO NO. S70096  <br>CONTRATO NO. S70096,	SERVICIO DE PROTECCION Y CUSTODIA MEDIANTE EL MONITOREO DE SISTEMAS DE SEGURIDAD,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/04/2011,	08/04/2011,	1 AÑO,	78383.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
IRMA JARAMILLO RANGEL,	PEMEX GAS Y PETROQUIMICA BASICA,	0070/2008,	CREÓ LAS CONDICIONES NECESARIAS PARA DOCUMENTAR Y BENEFICIARSE CON EL FALLO RESULTANTE DEL PORCESO CONCURSAL A TRAVÉS DE LA PORBABLE MANIPULACIÓN DE LAS OFERTAS.,	ELABORACIÓN DE CARROCERÍAS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	28/01/2009,	22/01/2009,	9 MESES,	226315.50,	,	14/01/2021 08:01
IRON TECH  S.A. DE C.V.,	SECRETARIA DE SALUD,	0004/2008,	NO FORMALIZÓ EL CONTRATO 2008-12-LPN-48-A QUE LE FUE ADJUDICADO POR CAUSAS IMPUTABLES A LA EMPRESA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	01/09/2008,	08/08/2008,	3 MESES,	76255.50,	,	14/01/2021 08:01
IRVING YADIR AGUILAR GONZALEZ,	SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,	0003/2009,	POSTERIOR A QUE RESULTO ADJUDUCADO  DE LAS PARTIDAS 4 Y 9 DE LA LICITACIÓN DE MÉRITO  EL ADJUDICADO BAJO EL ARGUMENTO DE QUE POR SITUACIONES CIRCUNSTANCIALES RENUNCIABA A LAS REFERIDAS PARTIDAS.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	03/11/2009,	30/10/2009,	3 MESES,	78885.00,	LUZ MARIA GARCIA RANGEL,	14/01/2021 08:01
ISAAC BAUTISTA ARRIAGA,	INSTITUTO NACIONAL DE LAS MUJERES,	0001/2019,	OMITIÓ ENTREGAR LA GARANTÍA DE CUMPLIMIENTO DE CONTRATO  MISMA QUE DEBIÓ ENTREGAR DENTRO DE LOS DIEZ DÍAS NATURALES SIGUIENTES A LA FIRMA DEL CONTRATO  LO CUAL OCURRIÓ EL 20 DE MARZO DE 2019,	ADQUISICIÓN DE MATERIAL ELÉCTRICO Y ELECTRÓNICO,	SANCIONATORIA CON MULTA,	09/03/2020,	02/03/2020,	,	128425.00,	CLAUDIA LETICIA VALLADARES SÁNCHEZ,	14/01/2021 08:01
ISABEL HERNÁNDEZ VEGA,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0605/2007,	NO FORMALIZO EL CONTRATO NO. D65090,	PRODUCCION  PROCESAMIENTO Y COMERCIALIZACION DE ALIMENTOS ELABORADOS Y NO ELABORADOS,	SANCIONATORIA CON MULTA,	28/05/2010,	14/05/2010,	,	73005.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ISMAEL SILVA CASTELLOT,	COMISION FEDERAL DE ELECTRICIDAD,	0079/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	30/06/2006,	29/06/2006,	3 MESES,	72540.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
ISP SIGLO XXI  S.A. DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0023/2011,	LA EMPRESA PROPORCIONÓ ANTE LA CONVOCANTE INFORMACIÓN FALSA,	COMPRAR  VENDER  DISTRIBUIR  FABRICAR  IMPORTAR  EXPORTAR  CONSIGNAR Y MAQUILAR TODA CLASE DE PRODUCTOS Y SERVICIOS DE TODAS LAS ACTIVIDADES COMERCIALES E INDUSTRIALES ETC.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	17/10/2013,	30/09/2013,	3 MESES,	89063.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
IVÁN CARMONA MAURY,	COMISION NACIONAL DEL AGUA,	0044/2007,	LA PERSONA FISICA IVAN CARMONA MAURY.  ENTREGO LOS REPORTES NO. 98654  98652  98649  PRESUNTAMENTE EMITIDOS POR LA EMPRESA INTERTEK TESTING SERVICES DE MEXICO  S.A DE CV.  (LABORATORIO CERTIFICADO) SIENDO QUE DICHA ENPRESA COMUNICO QUE SON FALSIFICADOS  YA QUE SUFRIERON ALTERACIONES EN SU CONTENIDO  FIRMA Y PAPELERIA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	03/04/2008,	28/03/2008,	1 AÑO 2 MESES,	391917.50,	PATRICIA YOLANDA AMEZCUA MORENO,	14/01/2021 08:01
IVÁN SALVADO JIMÉNEZ CASTILLO,	COMISION FEDERAL DE ELECTRICIDAD,	0023/2014,	NO FORMALIZÓ EL CONTRATO ADJUDICADO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	16/02/2015,	16/02/2015,	3 MESES,	104299.50,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
J. REFUGIO CARDENAS TORRES,	CFE DISTRIBUCIÓN,	0004/2018,	INCUMPLIMIENTO AL CONTRATO DN000-100/15 (9400086772) DE 2 DE OCTUBRE DE 2015,	J. REFUGIO TORRES CARDENAS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/06/2019,	31/05/2019,	2 AÑOS 9 MESES,	1262195.00,	SUSANA AMAYA MARTINEZ,	14/01/2021 08:01
J. REFUGIO CARDENAS TORRES,	CFE DISTRIBUCIÓN,	0005/2018,	SE LE RESCINDIÓ EL CONTRATO 9400086893 POR INCUMPLIMIENTOS AL MISMO,	J. REFUGIO CARDENAS TORRES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/06/2019,	31/05/2019,	1 AÑO 10 MESES,	849113.00,	SUSANA AMAYA MARTINEZ,	14/01/2021 08:01
